driverId,raceId,totaltime,avglaptime,lapnum,lapnummax,position,q1,q2,q3,prop,constructorId,year,budget,circuitId,Weather,qfastest,totallap,fastestLapSpeed
1,1069,5677.885,101.39080357142858,56,56,2,01:34.6,01:33.8,01:33.1,0.947368421,131,2021,215.96,69,0,93.1,48.157,201.521
1,1070,5935.641,83.60057746478873,71,71,2,01:17.2,01:16.5,01:16.0,0.947368421,131,2021,215.96,32,0,76,22.373,194.116
1,1071,5542.851,78.06832394366197,71,71,1,01:08.7,01:08.1,01:07.9,1,131,2021,215.96,18,0,67.9,81.924,215.503
1,1072,7575.1179999999995,151.50236,50,50,1,01:28.5,01:27.7,01:27.5,1,131,2021,215.96,77,0,87.5,2103.11,244.962
1,1073,5419.601,93.44139655172414,58,58,2,01:22.8,01:23.1,01:22.5,0.947368421,131,2021,215.96,24,0,82.5,21.595,219.495
3,900,5578.71,97.87210526315789,57,57,3,01:32.6,01:42.3,01:44.6,0.904761905,131,2014,240,1,0,92.6,48.004,206.436
3,901,6043.287,107.91583928571428,56,56,3,01:57.2,01:59.4,02:00.1,0.904761905,131,2014,240,2,0,117.2,74.664,191.946
3,902,5983.828,104.97943859649122,57,57,1,01:35.4,01:33.7,01:33.2,1,131,2014,240,3,0,93.2,49.758,200.816
3,903,5831.496,104.13385714285714,56,56,4,01:56.1,01:55.3,01:55.1,0.857142857,131,2014,240,17,0,115.1,46.366,195.45
3,904,6065.791,91.90592424242425,66,66,2,01:26.8,01:26.1,01:25.4,0.952380952,131,2014,240,4,0,85.4,44.563,187.794
3,905,6567.661,84.20078205128205,78,78,1,01:17.7,01:16.5,01:16.0,1,131,2014,240,6,0,76,24.672,151.388
3,906,5957.066,85.10094285714285,70,70,1,01:16.5,01:15.3,01:14.9,1,131,2014,240,7,0,74.9,48.984,199.028
3,907,5274.976,74.29543661971832,71,71,3,01:09.7,01:09.0,01:08.9,0.904761905,131,2014,240,70,0,68.9,43.138,214.518
3,909,5622.914,83.92408955223881,67,67,1,01:17.6,01:17.1,01:16.5,1,131,2014,240,10,0,76.5,40.312,202.543
3,910,6791.419,97.02027142857143,70,70,1,01:25.2,01:23.3,01:22.7,1,131,2014,240,11,1,82.7,68.692,183.981
3,911,5079.939,115.4531590909091,44,44,1,02:07.1,02:06.7,02:05.6,1,131,2014,240,13,0,125.6,76.325,228.161
3,912,4753.411,89.687,53,53,2,01:25.5,01:24.6,01:24.4,0.952380952,131,2014,240,14,0,84.4,24.583,236.432
3,914,6712.201,152.55002272727273,44,44,1,01:33.7,01:33.0,01:32.5,1,131,2014,240,22,1,92.5,1185.074,185.739
3,915,5524.401,104.23398113207547,53,53,2,01:39.1,01:38.6,01:38.7,0.95,131,2014,240,71,0,98.6,33.82,207.703
